split_idx,day,pnl,n_trades,hold_skips,time_skips,dsl_skips,dsl_triggered,total_bars
31,20220513,-2127.4550,67,648,0,1791,True,4630
31,20220516,2514.0000,150,666,674,0,False,4630
31,20220517,2638.6600,116,696,721,0,False,4630
31,20220518,-1461.5650,156,534,903,0,False,4630
31,20220519,-217.4300,257,612,826,0,False,4630
31,20220520,-173.0300,197,554,875,0,False,4630
31,20220523,208.8900,139,697,729,0,False,4630
31,20220524,1759.3600,186,652,775,0,False,4630
31,20220525,4583.0000,175,445,987,0,False,4630
31,20220526,-295.7600,49,679,751,0,False,4630
31,20220628,-750.1800,107,696,704,0,False,4630
31,20220629,852.9350,106,711,713,0,False,4630
31,20220630,214.3650,124,582,815,0,False,4630
31,20220701,1708.0750,120,694,734,0,False,4630
31,20220705,198.1050,123,688,740,0,False,4630
31,20220706,349.9200,117,710,730,0,False,4630
31,20220707,-139.0450,33,770,584,0,False,4630
31,20220708,713.2000,70,707,623,0,False,4630
31,20220711,84.8650,49,707,707,0,False,4630
31,20220712,706.9200,67,707,733,0,False,4630
