trade_idx,split_00,split_01,split_02,split_03,split_04,split_05,split_06,split_07,split_08,split_09,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44
40,481.6600,111.6600,481.6600,214.1600,231.6600,-55.8400,-400.8400,279.1600,329.1600,-40.8400,-332.0900,-332.0900,-54.5900,-332.0900,-152.0900,251.6600,155.4100,-2507.0900,1637.9100,7.9100,1274.1600,2722.9100,1450.4100,1417.9100,119.7850,342.2850,116.0350,294.7850,569.7850,412.2850,-133.3400,162.9100,1120.4100,904.1600,1154.1600,-535.2150,-402.7150,-156.4650,-313.9650,2227.2850,22.2850,-32.7150,2394.7850,2214.7850,374.7850
41,441.6700,146.6700,441.6700,174.1700,266.6700,-95.8300,-365.8300,314.1700,364.1700,-52.0800,-343.3300,-343.3300,-65.8300,-343.3300,-163.3300,272.9200,144.1700,-2518.3300,1659.1700,29.1700,1295.4200,2744.1700,1471.6700,1439.1700,56.0450,278.5450,52.2950,231.0450,506.0450,348.5450,-144.5800,184.1700,1109.1700,892.9200,1142.9200,-513.9550,-381.4550,-135.2050,-292.7050,2248.5450,43.5450,-11.4550,2383.5450,2548.5450,467.2950
42,410.4300,115.4300,410.4300,142.9300,235.4300,-127.0700,-339.5700,340.4300,390.4300,-101.4450,-392.6950,-392.6950,-115.1950,-392.6950,-212.6950,223.5550,94.8050,-2529.5700,1680.4300,50.4300,1316.6800,2765.4300,1492.9300,1460.4300,44.8050,267.3050,73.5550,219.8050,527.3050,337.3050,-123.3200,172.9300,1130.4300,914.1800,1164.1800,-525.1950,-392.6950,-146.4450,-271.4450,2227.3050,22.3050,-32.6950,2717.3050,2569.8050,378.5550
43,431.6900,104.1900,431.6900,131.6900,224.1900,-105.8100,-350.8100,329.1900,379.1900,-80.1850,-371.4350,-371.4350,-93.9350,-371.4350,-191.4350,244.8150,116.0650,-2540.8100,1701.6900,39.1900,1305.4400,2786.6900,1481.6900,1481.6900,66.0650,288.5650,94.8150,241.0650,548.5650,358.5650,-134.5600,161.6900,1119.1900,902.9400,1152.9400,-503.9350,-371.4350,-125.1850,-250.1850,2193.5650,-11.4350,-66.4350,2738.5650,2591.0650,399.8150
44,375.4500,47.9500,375.4500,75.4500,167.9500,-162.0500,-299.5500,380.4500,430.4500,-148.9250,-440.1750,-440.1750,-162.6750,-440.1750,-260.1750,176.0750,47.3250,-2552.0500,1722.9500,27.9500,1294.2000,2807.9500,1502.9500,1502.9500,57.9500,280.4500,97.9500,232.9500,551.7000,361.7000,-302.0500,-5.8000,951.7000,735.4500,985.4500,-482.6750,-350.1750,-136.4250,-261.4250,2182.3250,9.8250,-45.1750,2759.8250,2612.3250,456.7000
45,310.4600,-17.0400,310.4600,10.4600,102.9600,-227.0400,-239.5400,315.4600,365.4600,-160.1650,-451.4150,-451.4150,-173.9150,-451.4150,-271.4150,164.8350,36.0850,-2758.2900,1924.2100,-178.2900,1087.9600,3009.2100,1704.2100,1704.2100,26.7100,249.2100,66.7100,259.2100,520.4600,330.4600,-129.5400,166.7100,1124.2100,907.9600,1157.9600,-487.6650,-350.1650,-136.4150,-261.4150,2171.0850,-1.4150,-56.4150,2781.0850,2633.5850,477.9600
46,331.7200,4.2200,331.7200,31.7200,124.2200,-205.7800,-250.7800,304.2200,354.2200,-182.6550,-473.9050,-473.9050,-196.4050,-473.9050,-293.9050,142.3450,13.5950,-2900.7800,2061.7200,-320.7800,945.4700,3146.7200,1561.7200,1841.7200,47.9700,270.4700,87.9700,247.9700,541.7200,351.7200,-108.2800,187.9700,1112.9700,896.7200,1146.7200,-517.6550,-380.1550,-111.4050,-236.4050,2097.3450,-75.1550,-130.1550,2802.3450,2841.0950,512.9700
47,320.4800,-7.0200,320.4800,52.9800,145.4800,-217.0200,-229.5200,325.4800,375.4800,-183.2700,-474.5200,-474.5200,-197.0200,-474.5200,-294.5200,141.7300,12.9800,-2912.0200,2082.9800,-332.0200,934.2300,3167.9800,1582.9800,1862.9800,69.2300,291.7300,109.2300,236.7300,562.9800,372.9800,-87.0200,209.2300,1134.2300,917.9800,1167.9800,-528.8950,-358.8950,-90.1450,-215.1450,2086.1050,-86.3950,-141.3950,3009.8550,3058.6050,527.9800
48,267.9900,-59.5100,267.9900,0.4900,92.9900,-269.5100,-182.0100,372.9900,422.9900,-162.0100,-453.2600,-453.2600,-175.7600,-453.2600,-273.2600,162.9900,34.2400,-3009.5100,2175.4900,-239.5100,1026.7400,3260.4900,1675.4900,1955.4900,130.4900,352.9900,170.4900,297.9900,624.2400,434.2400,105.4900,401.7400,1326.7400,1110.4900,1360.4900,-561.3850,-391.3850,-62.6350,-187.6350,2036.1150,-136.3850,-191.3850,3227.3650,3079.8650,549.2400
49,226.7500,-100.7500,226.7500,-40.7500,51.7500,-310.7500,-145.7500,409.2500,459.2500,-169.5000,-450.7500,-450.7500,-173.2500,-450.7500,-270.7500,155.5000,26.7500,-2988.2500,2164.2500,-218.2500,1048.0000,3249.2500,1696.7500,1944.2500,64.2500,414.2500,231.7500,359.2500,685.5000,495.5000,94.2500,390.5000,1315.5000,1099.2500,1381.7500,-617.6250,-447.6250,-11.3750,-136.3750,2001.7500,-170.7500,-225.7500,3248.6250,3101.1250,570.5000
50,248.0100,-79.4900,215.5100,-19.4900,73.0100,-289.4900,-124.4900,430.5100,480.5100,-148.2400,-429.4900,-429.4900,-151.9900,-429.4900,-249.4900,176.7600,48.0100,-3078.2400,2249.2600,-308.2400,958.0100,3334.2600,1781.7600,2029.2600,85.5100,435.5100,220.5100,348.0100,706.7600,484.2600,115.5100,411.7600,1304.2600,1088.0100,1403.0100,-685.1150,-515.1150,51.1350,-73.8650,2023.0100,-149.4900,-204.4900,3269.8850,3279.8850,591.7600
51,269.2700,-58.2300,204.2700,1.7700,94.2700,-268.2300,-103.2300,451.7700,501.7700,-159.4800,-440.7300,-440.7300,-163.2300,-440.7300,-260.7300,165.5200,36.7700,-3056.9800,2238.0200,-286.9800,979.2700,3323.0200,1803.0200,2050.5200,9.2700,359.2700,144.2700,419.2700,630.5200,408.0200,136.7700,433.0200,1293.0200,1076.7700,1424.2700,-696.3550,-493.8550,72.3950,-52.6050,2044.2700,-128.2300,-183.2300,3448.6450,3301.1450,606.7700
