split_idx,day,pnl,n_trades,hold_skips,time_skips,total_bars
23,20221019,463.4400,94,527,873,4630
24,20220331,66.0650,44,599,829,4630
24,20220401,-283.7150,66,698,715,4630
24,20220404,7.7200,22,720,628,4630
24,20220405,-123.7650,61,700,701,4630
24,20220406,2174.9800,123,694,743,4630
24,20220407,1255.8600,86,706,720,4630
24,20220408,169.3700,62,679,759,4630
24,20220411,-182.0800,42,682,734,4630
24,20220412,-1562.2450,88,700,728,4630
24,20220413,429.8250,45,704,723,4630
24,20220414,30.0450,67,707,716,4630
24,20220418,-999.8750,75,613,802,4630
24,20220419,271.1350,51,571,862,4630
24,20220420,-190.0650,56,569,869,4630
24,20220421,-4078.8100,119,605,831,4630
24,20220422,-1990.9050,97,538,893,4630
24,20220425,4070.1650,204,682,754,4630
24,20220426,-1439.1350,149,407,1033,4630
24,20220427,293.9150,204,426,975,4630
24,20220428,3960.6950,132,254,1184,4630
24,20220429,-3454.2550,137,556,882,4630
24,20220502,-474.8500,265,587,853,4630
24,20220503,1671.1450,177,541,874,4630
24,20220504,22429.7800,228,678,759,4630
24,20220505,-4664.5100,299,526,898,4630
24,20220506,-750.6800,307,613,825,4630
24,20220509,-1114.0100,224,573,863,4630
24,20220510,813.1100,311,571,869,4630
24,20220511,-5483.7700,248,580,856,4630
24,20220512,-3817.9250,270,504,931,4630
24,20220513,1375.0100,126,661,773,4630
24,20220516,2609.0000,150,668,672,4630
24,20220517,3976.1600,116,702,715,4630
24,20220518,-4350.3150,156,541,896,4630
24,20220519,5581.3200,257,617,821,4630
24,20220520,-1546.7800,197,560,869,4630
24,20220523,2245.1400,139,697,729,4630
24,20220524,4663.1100,186,650,777,4630
24,20220525,4276.7500,175,488,944,4630
24,20220526,346.7500,50,671,748,4630
25,20220331,288.5650,44,604,824,4630
25,20220401,-178.7150,66,692,721,4630
25,20220404,0.2200,22,709,639,4630
25,20220405,-468.7650,61,699,702,4630
25,20220406,2327.4800,123,690,747,4630
25,20220407,887.1100,86,697,729,4630
25,20220408,566.8700,62,670,768,4630
25,20220411,-137.0800,42,672,744,4630
25,20220412,-1397.2450,88,693,735,4630
25,20220413,404.8250,45,691,736,4630
25,20220414,170.0450,67,701,722,4630
25,20220418,-1264.8750,75,614,801,4630
25,20220419,321.1350,51,578,855,4630
25,20220420,-110.0650,56,538,900,4630
25,20220421,-4298.7900,121,584,835,4630
25,20220422,-1263.4050,97,532,899,4630
25,20220425,4097.6650,204,671,765,4630
25,20220426,-1395.3850,149,420,1020,4630
25,20220427,-458.5850,204,406,995,4630
25,20220428,3289.4450,132,196,1242,4630
25,20220527,44.1200,37,670,754,4630
25,20220531,341.2100,121,581,835,4630
25,20220601,1093.7800,128,664,737,4630
25,20220602,2767.0200,77,704,736,4630
25,20220603,209.7600,101,679,756,4630
25,20220606,-714.7150,91,686,751,4630
25,20220607,761.9400,69,695,735,4630
25,20220608,-336.5400,96,713,720,4630
25,20220609,-506.4500,105,693,736,4630
25,20220610,759.9800,123,642,773,4630
25,20220613,-809.9650,191,540,877,4630
25,20220614,-492.1600,159,659,777,4630
25,20220615,10205.6350,251,652,787,4630
25,20220616,-458.4500,155,326,1112,4630
25,20220617,1955.6200,187,600,838,4630
25,20220621,319.9350,56,695,731,4630
25,20220622,185.2650,89,673,755,4630
25,20220623,-527.1450,98,683,743,4630
25,20220624,9.7650,39,763,643,4630
25,20220627,238.3800,88,664,759,4630
26,20220331,94.8150,44,599,830,4630
26,20220401,-527.4650,66,678,735,4630
26,20220404,151.4900,24,766,443,4630
26,20220405,-541.2650,61,691,710,4630
26,20220406,2622.4800,123,680,757,4630
26,20220407,1275.8600,86,692,734,4630
26,20220408,581.8700,62,671,767,4630
26,20220411,61.6800,43,676,741,4630
26,20220412,-1322.2450,88,678,750,4630
26,20220413,444.8250,45,686,741,4630
26,20220414,-309.9850,64,705,725,4630
26,20220418,-1719.8750,75,592,823,4630
26,20220419,96.1350,51,577,856,4630
26,20220420,227.4350,56,539,899,4630
26,20220421,-4551.3100,119,583,853,4630
26,20220422,-1960.9050,97,522,909,4630
26,20220425,4135.1650,204,668,768,4630
26,20220426,-1266.6350,149,357,1083,4630
26,20220427,497.6650,204,367,1034,4630
26,20220428,5255.6950,132,173,1265,4630
26,20220628,-3112.6800,107,683,717,4630
26,20220629,-690.8150,106,700,724,4630
26,20220630,984.3650,124,580,817,4630
26,20220701,1951.8250,120,683,745,4630
26,20220705,3363.1050,123,678,750,4630
26,20220706,2152.4200,117,692,748,4630
